PL25_M23	ref|WP_047980627.1|	66.574	359	116	3	16	370	4	362	2.08e-158	460	peptidoglycan DD-metalloendopeptidase family protein [Ornithinibacillus contaminans]	694055	N/A
PL25_M23	ref|WP_066194568.1|	64.012	339	111	2	31	369	14	341	6.60e-153	445	peptidoglycan DD-metalloendopeptidase family protein [Cytobacillus horneckiae]	549687	N/A
PL25_M23	ref|WP_163578527.1|	57.487	374	142	7	5	368	14	380	1.62e-142	420	MULTISPECIES: peptidoglycan DD-metalloendopeptidase family protein [Gracilibacillus]	74385;178340;563735	N/A;N/A;N/A
PL25_M23	ref|WP_343191776.1|	57.022	356	128	7	21	368	31	369	2.77e-136	404	peptidoglycan DD-metalloendopeptidase family protein [Caldifermentibacillus hisashii]	996558	N/A
PL25_M23	ref|WP_269919978.1|	56.742	356	129	7	21	368	31	369	7.63e-136	403	peptidoglycan DD-metalloendopeptidase family protein [Caldifermentibacillus hisashii]	996558	N/A
PL25_M23	ref|WP_227092181.1|	56.461	356	130	7	21	368	31	369	6.01e-135	401	peptidoglycan DD-metalloendopeptidase family protein [Caldibacillus thermoamylovorans]	35841	N/A
PL25_M23	ref|WP_324225084.1|	53.501	357	155	4	22	369	4	358	1.68e-129	387	peptidoglycan DD-metalloendopeptidase family protein [Lentibacillus sp.]	1925746	N/A
PL25_M23	ref|WP_176447356.1|	52.925	359	158	4	20	369	2	358	8.20e-128	382	peptidoglycan DD-metalloendopeptidase family protein [Lentibacillus sp. CBA3610]	2518176	N/A
PL25_M23	ref|WP_461177648.1|	52.958	355	157	3	22	368	5	357	6.94e-126	377	peptidoglycan DD-metalloendopeptidase family protein [Virgibacillus ainsalahensis]	1337860	N/A
PL25_M23	ref|WP_390274409.1|	52.941	340	153	3	34	369	23	359	1.06e-123	372	peptidoglycan DD-metalloendopeptidase family protein [Virgibacillus xinjiangensis]	393090	N/A
PL25_M23	ref|WP_068441797.1|	51.124	356	164	4	22	369	4	357	6.67e-123	370	peptidoglycan DD-metalloendopeptidase family protein [Lentibacillus amyloliquefaciens]	1472767	N/A
PL25_M23	ref|WP_390303499.1|	55.873	315	133	2	59	369	47	359	2.10e-122	369	peptidoglycan DD-metalloendopeptidase family protein [Virgibacillus sediminis]	202260	N/A
PL25_M23	ref|WP_138600556.1|	50.430	349	164	3	25	368	14	358	5.31e-122	367	peptidoglycan DD-metalloendopeptidase family protein [Lentibacillus cibarius]	2583219	N/A
PL25_M23	ref|WP_382391954.1|	50.286	350	166	3	25	368	11	358	9.74e-121	364	peptidoglycan DD-metalloendopeptidase family protein [Lentibacillus juripiscarius]	257446	N/A
PL25_M23	ref|WP_138600713.1|	49.713	348	166	3	26	368	15	358	2.00e-120	363	peptidoglycan DD-metalloendopeptidase family protein [Lentibacillus cibarius]	2583219	N/A
PL25_M23	ref|WP_082220163.1|	52.793	358	151	7	19	367	2	350	4.52e-117	355	peptidoglycan DD-metalloendopeptidase family protein [Domibacillus robiginosus]	1071054	N/A
PL25_M23	ref|WP_046176727.1|	53.652	356	151	7	19	367	2	350	7.59e-116	352	peptidoglycan DD-metalloendopeptidase family protein [Domibacillus indicus]	1437523	N/A
PL25_M23	ref|WP_394237463.1|	52.162	370	150	12	19	369	4	365	8.90e-116	352	peptidoglycan DD-metalloendopeptidase family protein [Niallia oryzisoli]	1737571	N/A
PL25_M23	ref|WP_251274384.1|	53.090	356	153	7	19	367	2	350	4.18e-114	347	peptidoglycan DD-metalloendopeptidase family protein [Domibacillus indicus]	1437523	N/A
PL25_M23	ref|WP_097074628.1|	49.580	357	159	6	27	368	12	362	2.97e-109	335	peptidoglycan DD-metalloendopeptidase family protein [Ureibacillus xyleni]	614648	N/A
PL25_M23	gb|MER1987475.1|	49.435	354	159	6	27	366	12	359	4.89e-107	329	peptidoglycan DD-metalloendopeptidase family protein [Solibacillus sp.]	1909654	N/A
PL25_M23	ref|WP_464380148.1|	50.000	366	168	6	13	368	2	362	1.09e-106	328	peptidoglycan DD-metalloendopeptidase family protein [Gracilibacillus boraciitolerans]	307521	N/A
