PL25_00077	ref|WP_157052515.1|	57.862	159	63	2	1	159	1	155	5.99e-58	190	RusA family crossover junction endodeoxyribonuclease [Ornithinibacillus contaminans]
PL25_00077	ref|WP_150441747.1|	48.295	176	80	2	4	169	2	176	2.91e-49	169	RusA family crossover junction endodeoxyribonuclease [Niallia endozanthoxylica]
PL25_00077	ref|WP_394237461.1|	47.159	176	82	2	4	169	2	176	1.57e-47	164	RusA family crossover junction endodeoxyribonuclease [Niallia oryzisoli]
PL25_00077	ref|WP_184530219.1|	47.101	138	67	2	6	137	5	142	1.17e-32	127	hypothetical protein [Bacillus benzoevorans]
PL25_00077	ref|WP_340858366.1|	46.377	138	69	2	7	139	10	147	9.57e-32	124	RusA family crossover junction endodeoxyribonuclease [Aeribacillus sp. FSL M8-0254]
PL25_00077	ref|WP_340734230.1|	39.326	178	83	3	11	183	14	171	2.25e-31	123	RusA family crossover junction endodeoxyribonuclease [Aeribacillus sp. FSL M8-0235]
PL25_00077	ref|WP_153834913.1|	43.624	149	74	3	11	149	11	159	3.12e-31	122	MULTISPECIES: hypothetical protein [Gracilibacillus]
PL25_00077	ref|WP_069685712.1|	43.284	134	70	2	11	138	11	144	5.22e-28	114	hypothetical protein [Oceanobacillus sp. E9]
PL25_00077	ref|WP_269919977.1|	41.429	140	77	1	4	138	3	142	1.27e-26	111	hypothetical protein [Caldifermentibacillus hisashii]
PL25_00077	ref|WP_328187473.1|	41.429	140	77	1	4	138	3	142	1.44e-26	111	hypothetical protein [Caldifermentibacillus hisashii]
PL25_00077	ref|WP_227092180.1|	40.714	140	78	1	4	138	3	142	5.98e-26	109	hypothetical protein [Caldibacillus thermoamylovorans]
PL25_00077	ref|WP_443139913.1|	39.007	141	77	3	7	138	6	146	1.01e-22	101	hypothetical protein [Piscibacillus sp. B03]
PL25_00077	ref|WP_391374836.1|	37.662	154	88	1	11	156	12	165	7.08e-22	99.0	hypothetical protein [Lysinibacillus sp. KU-BSD001]
PL25_00077	ref|WP_181473873.1|	35.762	151	87	3	7	147	6	156	5.26e-21	97.1	hypothetical protein [Halobacillus locisalis]
PL25_00077	ref|WP_097074627.1|	39.416	137	74	1	11	138	11	147	6.63e-21	96.7	hypothetical protein [Ureibacillus xyleni]
PL25_00077	gb|MER1987476.1|	36.025	161	89	3	14	160	15	175	6.63e-21	96.7	hypothetical protein [Solibacillus sp.]
PL25_00077	ref|WP_066194570.1|	39.552	134	76	1	10	138	6	139	1.04e-20	95.9	hypothetical protein [Cytobacillus horneckiae]
PL25_00077	ref|WP_035723133.1|	33.813	139	82	2	8	138	7	143	8.57e-17	85.9	hypothetical protein [Gracilibacillus boraciitolerans]
PL25_00077	ref|WP_411954759.1|	40.541	111	54	2	51	149	4	114	1.20e-15	81.6	hypothetical protein [Alkalibacillus sp. S2W]
PL25_00077	ref|WP_188433503.1|	31.200	125	81	1	14	138	13	132	7.80e-11	69.3	RusA family crossover junction endodeoxyribonuclease [Kroppenstedtia guangzhouensis]
